epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54792,1.20273,4.36059,1.17471,0.00247,0.65,0.02149,0.01223,1.23223,3.50247,1.18235,5.712e-05,5.712e-05,5.712e-05
2,4.36651,0.94248,4.15831,1.04825,0.00449,0.925,0.14709,0.10828,0.7569,3.4922,1.00189,0.000120178,0.000120178,0.000120178
3,6.19508,0.79787,3.61836,1.04701,0.00595,0.91667,0.29557,0.25125,0.72461,3.41504,0.97698,0.000181964,0.000181964,0.000181964
4,8.04761,0.75288,3.03092,1.00401,0.00808,0.975,0.32787,0.27484,0.67889,3.28163,0.93898,0.000242478,0.000242478,0.000242478
5,10.0254,0.75659,2.82974,1.05312,0.00674,0.9,0.37792,0.32549,0.66984,3.04306,0.93817,0.000301719,0.000301719,0.000301719
6,11.9354,0.74377,2.51435,1.02411,0.00916,1,0.5998,0.51908,0.6958,2.87064,1.02692,0.000359688,0.000359688,0.000359688
7,13.7485,0.69905,2.36564,0.99115,0.00763,1,0.66581,0.57053,0.67633,2.6935,1.0101,0.000416385,0.000416385,0.000416385
8,15.5351,0.64493,2.28751,0.974,0.749,0.25,0.67013,0.56376,0.66639,2.41859,0.95753,0.000471809,0.000471809,0.000471809
9,17.2329,0.68831,2.08701,0.96939,0.7164,0.36426,0.81302,0.68609,0.67687,2.19388,0.95185,0.000525961,0.000525961,0.000525961
10,18.9322,0.67766,2.00434,0.96875,0.61905,0.59716,0.70349,0.60334,0.61209,1.98307,0.93012,0.000578841,0.000578841,0.000578841
11,20.6414,0.68675,1.99398,0.98324,0.55343,0.61256,0.73525,0.60249,0.67666,1.96659,0.9546,0.000630448,0.000630448,0.000630448
12,22.3602,0.70834,1.89201,0.96993,0.66448,0.83541,0.855,0.756,0.64587,1.53458,0.93943,0.000636245,0.000636245,0.000636245
13,24.2487,0.66803,1.9138,0.97662,0.56143,0.76462,0.79587,0.68001,0.66399,1.72275,0.94485,0.000629177,0.000629177,0.000629177
14,26.0118,0.64561,1.88553,0.96925,0.51775,0.74874,0.78913,0.66363,0.68358,1.71454,0.94892,0.000622108,0.000622108,0.000622108
15,27.8209,0.63049,1.64716,0.9335,0.74174,0.76667,0.85158,0.73102,0.7169,1.47456,0.95259,0.00061504,0.00061504,0.00061504
16,29.5187,0.65112,1.67711,0.95783,0.78917,0.70813,0.85879,0.736,0.64722,1.64881,0.96754,0.000607971,0.000607971,0.000607971
17,31.203,0.65346,1.63084,0.93167,0.61017,0.79644,0.87197,0.77538,0.5921,1.38549,0.93997,0.000600902,0.000600902,0.000600902
