epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.734,0.51462,1.0529,0.90887,0.90996,0.99098,0.9785,0.87116,0.54207,0.51955,0.93843,0.000327583,0.000327583,0.000327583
43,89.6439,0.50372,1.01343,0.89147,0.92532,0.98287,0.98675,0.87944,0.52673,0.51499,0.93199,0.000318158,0.000318158,0.000318158
44,91.7041,0.49123,1.04473,0.89951,0.93309,0.98464,0.98675,0.88332,0.53619,0.50877,0.91956,0.000308734,0.000308734,0.000308734
45,93.5182,0.45244,0.97391,0.8648,0.94619,0.97864,0.98675,0.87067,0.54705,0.49436,0.92725,0.000299309,0.000299309,0.000299309
46,95.2504,0.45329,0.99242,0.87426,0.9533,0.99656,0.98675,0.88326,0.52013,0.47575,0.93207,0.000289884,0.000289884,0.000289884
47,96.9342,0.46051,0.90586,0.87515,0.94292,0.98817,0.995,0.90008,0.5119,0.47296,0.92635,0.000280459,0.000280459,0.000280459
48,98.639,0.45722,0.93226,0.88748,0.93643,1,0.98675,0.89106,0.52671,0.47951,0.93158,0.000271034,0.000271034,0.000271034
49,100.52,0.49164,0.97637,0.89353,0.88778,1,0.98675,0.88675,0.52662,0.47644,0.92553,0.00026161,0.00026161,0.00026161
50,102.805,0.43906,0.84182,0.8573,0.84537,1,0.995,0.89033,0.52191,0.46288,0.92018,0.000252185,0.000252185,0.000252185
51,105.373,0.44635,0.92931,0.88899,0.90225,1,0.98675,0.87332,0.53629,0.46197,0.9327,0.00024276,0.00024276,0.00024276
52,107.592,0.44546,0.95561,0.8652,0.93495,0.99849,0.98675,0.87174,0.52063,0.45079,0.92515,0.000233335,0.000233335,0.000233335
53,109.493,0.47861,0.93133,0.88452,0.93606,0.99481,0.98675,0.88941,0.52172,0.43921,0.92065,0.00022391,0.00022391,0.00022391
54,111.31,0.47187,0.8855,0.87882,0.92977,0.99597,0.9785,0.86707,0.54319,0.4489,0.93216,0.000214486,0.000214486,0.000214486
55,113.145,0.4555,0.90353,0.89042,0.92553,0.97795,0.9785,0.86656,0.55996,0.45932,0.94034,0.000205061,0.000205061,0.000205061
56,114.97,0.42948,0.90964,0.87351,0.92221,0.98811,0.9785,0.90018,0.51216,0.44454,0.92176,0.000195636,0.000195636,0.000195636
